Iteration,AUC,Execution Time (s),Size
1,0.5,20.13849711418152,5
2,0.5,20.160892963409424,5
3,0.5,20.136361122131348,5
4,0.5,20.181888103485107,5
5,0.5,20.43457007408142,5
6,0.5,20.104094982147217,5
7,0.49056603773584906,20.154672145843506,5
8,0.49056603773584906,20.14229917526245,5
9,0.4716981132075472,20.150329113006592,5
10,0.5,20.122491121292114,5
1,0.4811320754716981,20.18920087814331,6
2,0.5166666666666667,20.165168046951294,6
3,0.5,20.16462802886963,6
4,0.5,20.143944025039673,6
5,0.4883647798742139,20.220857858657837,6
6,0.5,20.133363008499146,6
7,0.5,20.100369215011597,6
8,0.5,20.155380964279175,6
9,0.4811320754716981,20.257893800735474,6
10,0.5,20.458917140960693,6
1,0.49056603773584906,20.236424922943115,7
2,0.49056603773584906,20.3145489692688,7
3,0.5317610062893082,20.28293490409851,7
4,0.5716981132075472,20.3335599899292,7
5,0.5,20.325021743774414,7
6,0.5,20.376272916793823,7
7,0.5,20.343085050582886,7
8,0.5,20.364665031433105,7
9,0.5,20.3400821685791,7
10,0.5,20.412012100219727,7
1,0.5,20.26046586036682,8
2,0.5,21.506330251693726,8
3,0.5,20.349246978759766,8
4,0.49056603773584906,20.17198395729065,8
5,0.4528301886792453,20.156987190246582,8
6,0.5,20.254750967025757,8
7,0.49056603773584906,20.19645380973816,8
8,0.5,20.235193729400635,8
9,0.5,20.322224140167236,8
10,0.5,20.160254955291748,8
1,0.5,20.268475770950317,9
2,0.5,20.371120929718018,9
3,0.49056603773584906,20.442171812057495,9
4,0.5,20.612473011016846,9
5,0.4811320754716981,20.926955938339233,9
6,0.5,20.330311059951782,9
7,0.49056603773584906,20.190943241119385,9
8,0.5,20.335215091705322,9
9,0.5,20.127000093460083,9
10,0.49056603773584906,20.491496801376343,9
1,0.5,20.521631002426147,10
2,0.5,20.527091026306152,10
3,0.5,20.505578994750977,10
4,0.4811320754716981,20.44364905357361,10
5,0.5,20.38777494430542,10
6,0.5,20.511826038360596,10
7,0.5,20.53463912010193,10
8,0.5333333333333333,20.454272985458374,10
9,0.5,20.375461101531982,10
10,0.5,20.4790940284729,10
